State,Job Seq No.,Batch/Job No.,HPA MIPS No.,Job Name,Form Name,Ctl Docs,Extractions,Lodge QTY,Date,Time,Aust Post Lodgement No,Outstanding
VIC,J08.30,45010,999173,J#BLP2A5,BLASU19,7351,0,7351,12-07-07,14:49,1296902,0
VIC,J08.31,45011,999154,J#BLP2A6,ITC,417,0,417,12-07-07,11:25,1295511,0
VIC,J08.32,45012,999158,J#BLP2B1,CAI,377,0,377,12-07-07,15:01,1297056,0
VIC,J08.33,45013,999142,J#BLP2B2,SU19YELLOW,5,0,5,12-07-07,10:08,1295091,0
VIC,J08.41,45017,999145,J#BLP2C2,COLSU19,54,0,54,12-07-07,10:03,1295087,0
VIC,J08.42,45018,999146,J#BL02T1,CALLCAT2,1,0,1,12-07-07,10:14,1295155,0
VIC,J08.43,45019,999167,J#BL02H1,CALLCAT3,671,0,671,12-07-07,13:24,1296274,0
VIC,J08.44,45020,999149,J#BL02C1,BLASTOLA,1324,0,1324,12-07-07,11:58,1295770,0
VIC,J08.45,H28381,999141,J#PYCH39,SS360,192,0,192,12-07-07,12:00,1295773,0
VIC,J08.46,H28791,999176,J#TXDA2,TXDA,253,0,253,12-07-07,13:36,1296276,0
VIC,J20.63,061015,994704,J#TXFY05,TXFY-DPID,25000,0,25000,12-07-07,07:33,1294757,0
VIC,J20.64,061016,994709,J#TXFY05,TXFY-DPID,25000,0,25000,12-07-07,07:33,1294758,0
VIC,J20.65,061017,994710,J#TXFY05,TXFY-DPID,25000,0,25000,12-07-07,07:34,1294759,0
VIC,J20.66,061018,994711,J#TXFY05,TXFY-DPID,25000,0,25000,12-07-07,07:35,1294760,0
VIC,K08.31,44689,999136,K#BLP2A6,ITC,322,0,322,12-07-07,12:01,1295775,0
VIC,K08.32,44690,999137,K#BLP2B1,CAI,224,0,224,12-07-07,15:14,1297220,0
VIC,K08.43,44697,999162,K#BL02H1,CALLCAT3,530,0,530,12-07-07,14:12,1296633,0
VIC,M07.31,44723,998483,M#BLP2A5,BLASU19,5912,0,2,12-07-07,17:28,1298423,0
